"stream","sampling","down","up","move"
"Dierbach",1,8.14561148648649,6.6,7.63
"Dierbach",2,15.8019318181818,13.6,15.0679
"Dierbach",3,19.1890763888889,14.4274565972222,16.8082664930556
"Dierbach",4,17.3718555555556,13.8429611111111,16.3634034090909
"Hainbach",1,8.48908766233766,7.78394967532468,8.32223282442748
"Hainbach",2,15.5999166666667,13.5369526515152,14.5684346590909
"Hainbach",3,18.7258142361111,16.5138263888889,17.6198203125
"Hainbach",4,16.5171388888889,14.1840916666667,15.8957954545455
"Isenach",1,9.51128409090909,7.29546915584416,8.49402385496183
"Isenach",2,17.0515738636364,14.4643598484848,15.7579668560606
"Isenach",3,20.1385173611111,16.7107517361111,18.4246345486111
"Isenach",4,18.0683014492754,15.4721130434783,17.2254191033138
"Kaiserbach",1,8.40786486486486,8.677,8.498
"Kaiserbach",2,15.7550700757576,12.1844166666667,13.9697433712121
"Kaiserbach",3,18.8642048611111,14.0335625,16.4488836805556
"Kaiserbach",4,17.3365166666667,13.926625,16.1482424242424
"Klingbach",1,8.38384290540541,8.4947240990991,8.4208
"Klingbach",2,16.1096988636364,15.1852777777778,15.6474883207071
"Klingbach",3,19.3289653979239,19.4120686498856,19.3647448275862
"Klingbach",4,17.2619388888889,16.1000972222222,16.8277102272727
"Kropsbach",1,7.68301354217654,5.2,6.855
"Kropsbach",2,21.0865461910774,18.5943181818182,20.2558035213244
"Kropsbach",3,21.6608072916667,16.6690619902121,19.0872666105971
"Kropsbach",4,17.930875,14.52495,16.9499659090909
"Modenbach",1,9.1235211038961,8.55423863636364,9.02579675572519
"Modenbach",2,15.766259469697,13.2984981060606,14.5323787878788
"Modenbach",3,18.30446875,15.184953125,16.7447109375
"Modenbach",4,16.5652463768116,14.1780492753623,15.7641773879142
"Otterbach",1,16.8182682926829,8.89225,9.40562559241706
"Otterbach",2,18.9689621212121,12.526375,15.7476685606061
"Otterbach",3,19.0452708333333,13.4275243055556,16.2363975694444
"Otterbach",4,17.2226388888889,13.7135416666667,15.8707613636364
"Russbach",1,12.115487804878,7.76241891891892,8.04437124802528
"Russbach",2,16.5136818181818,12.7750284090909,14.6443551136364
"Russbach",3,18.9539861111111,14.4655138888889,16.70975
"Russbach",4,16.8811,13.4643416666667,15.9085
"Triefenbach",1,8.41420779220779,7.35873538961039,7.99484160305343
"Triefenbach",2,14.1062026515152,13.3187992424242,13.7125009469697
"Triefenbach",3,17.3920277777778,16.3413159722222,16.866671875
"Triefenbach",4,16.1713072463768,15.29625,15.8634580896686
